low,high,count
683,683,100
692,692,12
691,691,16
690,690,23
689,689,20
688,688,16
687,687,23
686,686,23
685,685,15
684,684,24
683,683,32
682,682,21
681,681,25
680,680,38
679,679,39
678,678,34
677,677,34
676,676,49
675,675,37
674,674,38
673,673,53
672,672,53
671,671,38
670,670,47
669,669,53
668,668,45
667,667,64
666,666,42
665,665,73
664,664,63
663,663,65
662,662,77
661,661,60
660,660,69
659,659,64
658,658,72
657,657,75
656,656,97
655,655,79
654,654,90
653,653,85
652,652,71
651,651,95
650,650,90
649,649,70
648,648,80
647,647,95
646,646,85
645,645,96
644,644,96
643,643,92
642,642,92
641,641,75
640,640,111
639,639,113
638,638,121
637,637,95
636,636,96
635,635,108
634,634,120
633,633,97
632,632,96
631,631,97
630,630,116
629,629,120
628,628,105
627,627,125
626,626,95
625,625,124
624,624,107
623,623,117
622,622,128
621,621,126
620,620,106
619,619,136
618,618,118
617,617,122
616,616,141
615,615,111
614,614,124
613,613,117
612,612,141
611,611,147
610,610,121
609,609,133
608,608,126
607,607,145
606,606,160
605,605,139
604,604,151
603,603,137
602,602,127
601,601,153
600,600,123
599,599,130
598,598,133
597,597,175
596,596,141
595,595,158
594,594,132
593,593,158
592,592,146
591,591,169
590,590,150
589,589,146
588,588,149
587,587,161
586,586,157
585,585,144
584,584,145
583,583,146
582,582,150
581,581,147
580,580,145
579,579,165
578,578,157
577,577,161
576,576,169
575,575,173
574,574,148
573,573,177
572,572,169
571,571,138
570,570,159
569,569,155
568,568,160
567,567,164
566,566,163
565,565,148
564,564,173
563,563,168
562,562,166
561,561,162
560,560,143
559,559,174
558,558,173
557,557,162
556,556,189
555,555,174
554,554,165
553,553,189
552,552,167
551,551,150
550,550,164
549,549,155
548,548,171
547,547,166
546,546,151
545,545,150
544,544,169
543,543,189
542,542,172
541,541,180
540,540,150
539,539,195
538,538,156
537,537,163
536,536,159
535,535,178
534,534,154
533,533,188
532,532,143
531,531,151
530,530,146
529,529,177
528,528,162
527,527,195
526,526,190
525,525,179
524,524,174
523,523,153
522,522,181
521,521,163
520,520,160
519,519,173
518,518,180
517,517,161
516,516,166
515,515,171
514,514,138
513,513,169
512,512,169
511,511,154
510,510,156
509,509,161
508,508,186
507,507,168
506,506,163
505,505,143
504,504,153
503,503,145
502,502,150
501,501,149
500,500,176
499,499,165
498,498,154
497,497,170
496,496,155
495,495,167
494,494,154
493,493,174
492,492,176
491,491,142
490,490,180
489,489,153
488,488,124
487,487,154
486,486,165
485,485,150
484,484,149
483,483,142
482,482,161
481,481,164
480,480,166
479,479,158
478,478,130
477,477,122
476,476,156
475,475,144
474,474,128
473,473,132
472,472,162
471,471,157
470,470,148
469,469,143
468,468,146
467,467,146
466,466,126
465,465,128
464,464,134
463,463,140
462,462,161
461,461,140
460,460,171
459,459,142
458,458,132
457,457,130
456,456,132
455,455,142
454,454,115
453,453,131
452,452,141
451,451,124
450,450,136
449,449,117
448,448,115
447,447,134
446,446,138
445,445,122
444,444,131
443,443,120
442,442,120
441,441,108
440,440,109
439,439,128
438,438,106
437,437,108
436,436,106
435,435,99
434,434,114
433,433,116
432,432,124
431,431,108
430,430,114
429,429,98
428,428,113
427,427,110
426,426,122
425,425,90
424,424,130
423,423,101
422,422,93
421,421,99
420,420,111
419,419,90
418,418,97
417,417,94
416,416,96
415,415,86
414,414,102
413,413,91
412,412,104
411,411,94
410,410,99
409,409,89
408,408,78
407,407,74
406,406,85
405,405,84
404,404,77
403,403,88
402,402,93
401,401,98
400,400,78
399,399,81
398,398,108
397,397,83
396,396,63
395,395,79
394,394,88
393,393,76
392,392,69
391,391,71
390,390,87
380,389,681
370,379,615
360,369,587
350,359,472
340,349,393
330,339,362
320,329,306
310,319,229
300,309,176
290,299,154
280,289,118
270,279,82
260,269,77
250,259,40
240,249,39
230,239,41
220,229,21
210,219,16
200,209,17
190,199,10
180,189,9
170,179,10
160,169,7
150,159,3
140,149,3
130,139,14
120,129,8
110,119,1
100,109,5